-0.5118510 -0.4767780 -0.7327340 ; -0.5357130 -0.4701130 -0.6587390
-0.5118510 -0.4767780 -0.7327340 ; -0.5356870 -0.4767780 -0.7327340
-0.4925800 -0.4631460 -0.7321560 ; -0.5118510 -0.4767780 -0.7327340
-0.5118250 -0.4701130 -0.6587390 ; -0.4925800 -0.4631460 -0.7321560
-0.4924910 -0.4561250 -0.6599610 ; -0.4925800 -0.4631460 -0.7321560
-0.5118250 -0.4701130 -0.6587390 ; -0.4924910 -0.4561250 -0.6599610
-0.4849590 -0.4404880 -0.7261430 ; -0.4925800 -0.4631460 -0.7321560
-0.4924910 -0.4561250 -0.6599610 ; -0.4849590 -0.4404880 -0.7261430
-0.4851080 -0.4334900 -0.6619420 ; -0.4849590 -0.4404880 -0.7261430
-0.4924910 -0.4561250 -0.6599610 ; -0.4851080 -0.4334900 -0.6619420
-0.4922260 -0.4159980 -0.7069560 ; -0.4849590 -0.4404880 -0.7261430
-0.4851080 -0.4334900 -0.6619420 ; -0.4922260 -0.4159980 -0.7069560
-0.4924950 -0.4108540 -0.6639210 ; -0.4922260 -0.4159980 -0.7069560
-0.4851080 -0.4334900 -0.6619420 ; -0.4924950 -0.4108540 -0.6639210
-0.5118690 -0.3995490 -0.6831800 ; -0.4922260 -0.4159980 -0.7069560
-0.4924950 -0.4108540 -0.6639210 ; -0.5118690 -0.3995490 -0.6831800
-0.5118250 -0.3968640 -0.6651480 ; -0.5118690 -0.3995490 -0.6831800
-0.4924950 -0.4108540 -0.6639210 ; -0.5118250 -0.3968640 -0.6651480
-0.5357130 -0.3968640 -0.6651480 ; -0.5550450 -0.4108540 -0.6639210
-0.5356690 -0.3995490 -0.6831800 ; -0.5357130 -0.3968640 -0.6651480
-0.5550450 -0.4108540 -0.6639210 ; -0.5356690 -0.3995490 -0.6831800
-0.5553160 -0.4159980 -0.7069560 ; -0.5356690 -0.3995490 -0.6831800
-0.5550450 -0.4108540 -0.6639210 ; -0.5553160 -0.4159980 -0.7069560
-0.5625830 -0.4404880 -0.7261430 ; -0.5553160 -0.4159980 -0.7069560
-0.5553160 -0.4159980 -0.7069560 ; -0.5624260 -0.4334900 -0.6619420
-0.5550450 -0.4108540 -0.6639210 ; -0.5624260 -0.4334900 -0.6619420
-0.5536450 -0.4551940 -0.6607140 ; -0.5550450 -0.4561250 -0.6599610
-0.5607480 -0.4335740 -0.6626380 ; -0.5536450 -0.4551940 -0.6607140
-0.5550450 -0.4561250 -0.6599610 ; -0.5607480 -0.4335740 -0.6626380
-0.5624260 -0.4334900 -0.6619420 ; -0.5607480 -0.4335740 -0.6626380
-0.5351720 -0.4685260 -0.6595290 ; -0.5357130 -0.4701130 -0.6587390
-0.5536450 -0.4551940 -0.6607140 ; -0.5351720 -0.4685260 -0.6595290
-0.5357130 -0.4701130 -0.6587390 ; -0.5536450 -0.4551940 -0.6607140
-0.5123620 -0.4685260 -0.6595290 ; -0.5118250 -0.4701130 -0.6587390
-0.5351720 -0.4685260 -0.6595290 ; -0.5123620 -0.4685260 -0.6595290
-0.5118250 -0.4701130 -0.6587390 ; -0.5351720 -0.4685260 -0.6595290
-0.4938850 -0.4551940 -0.6607140 ; -0.4924910 -0.4561250 -0.6599610
-0.5123620 -0.4685260 -0.6595290 ; -0.4938850 -0.4551940 -0.6607140
-0.4924910 -0.4561250 -0.6599610 ; -0.5123620 -0.4685260 -0.6595290
-0.4867800 -0.4335700 -0.6626380 ; -0.4851080 -0.4334900 -0.6619420
-0.4938850 -0.4551940 -0.6607140 ; -0.4867800 -0.4335700 -0.6626380
-0.4851080 -0.4334900 -0.6619420 ; -0.4938850 -0.4551940 -0.6607140
-0.4938070 -0.4118880 -0.6645670 ; -0.4924950 -0.4108540 -0.6639210
